Электросчетчик,Показание,"1-День, 2-Ночь",,Теплосчетчик,Показание
M1,0,1,,P1,6.8966
M1,"0,437",2,,P2,5.1869
M2,"135,801",1,,P3,6.8931
M2,"1,301",2,,P4,7.0747
M3,0,1,,P5,4.3839
M3,"0,437",2,,P6,5.7758
M4,"0,001",1,,P7,5.9226
M4,"0,589",2,,P8,5.1923
M6,"0,083",1,,P9,6.3838
M6,"0,373",2,,P10,5.8472
M7,"0,027",1,,P11,5.2046
M7,"3,373",2,,P12,5.0414
M8,"599,066",1,,P13,5.5642
M8,"306,106",2,,P14,4.6192
M9,"0,071",1,,P15,5.3359
M9,"0,361",2,,P16,5.3208
M11,"2,745",1,,P17,4.4793
M11,0,2,,P18,3.984
M12,"1,493",1,,P19,2.2518
M12,0,2,,P20,7.0062
M13,"79,997",1,,P21,6.3587
M13,"39,219",2,,P22,4.3176
M14,"4,797",1,,P23,5.048
M14,0,2,,P24,3.3276
M15,"1,191",1,,P25,3.8257
M15,0,2,,P26,9.5001
M16,"1,491",1,,P27,5.6406
M16,0,2,,P28,6.7951
M17,"1,19",1,,P29,2.7368
M17,0,2,,P30,10.8157
M18,"2205,825",1,,P31,2.1567
M18,"1442,483",2,,P32,4.606
M19,"2,524",1,,P33,3.8143
M19,"0,265",2,,P34,4.3452
M20,"3,626",1,,P35,1.111
M20,"0,174",2,,P37,0.1727
M21,"1,192",1,,P38,1.1171
M21,0,2,,P39,0.8908
M22,"0,041",1,,P40,1.2002
M22,"1,546",2,,P41,0.9558
M23,"2,622",1,,P42,1.0125
M23,"0,318",2,,P43,6.2877
M24,"680,676",1,,P44,1.8959
M24,"349,22",2,,P45,5.2088
M25,"1,507",1,,P46,5.899
M25,"0,173",2,,P47,4.9479
M26,"2,31",1,,P48,5.1814
M26,"0,149",2,,P49,4.0559
M27,"1,491",1,,P50,2.7083
M27,"0,174",2,,P51,5.8979
M28,"19,544",1,,P52,6.3195
M28,"2,168",2,,P53,4.6295
M29,"3581,481",1,,P54,3.0524
M29,"1805,308",2,,P55,5.9191
M30,"1,331",1,,P56,6.1912
M30,"0,317",2,,P57,2.2599
M31,"0,036",1,,P58,6.2008
M31,"0,446",2,,P59,2.7385
M32,"1467,567",1,,P60,4.8345
M32,"456,132",2,,P61,1.0545
M33,"0,08",1,,P62,1.0153
M33,"0,359",2,,P63,1.0823
M34,"0,071",1,,P64,1.1945
M34,"0,361",2,,P65,12.3889
M35,"0,079",1,,P66,0.9122
M35,"0,419",2,,P67,5.9805
M36,"0,088",1,,P68,4.7014
M36,"0,378",2,,P69,1.0098
M37,"265,207",1,,P70,1.1361
M37,"136,267",2,,P71,0.7796
M39,"0,936",1,,P72,0.8432
M39,"0,707",2,,P73,6.0055
M40,"0,327",1,,P74,5.2441
M40,"0,362",2,,P75,5.85
M41,"0,082",1,,P76,4.2023
M41,"0,374",2,,P77,4.6708
M42,"0,09",1,,P78,4.9043
M42,"0,373",2,,P79,5.597
M43,"362,925",1,,P80,4.1534
M43,"83,62",2,,P81,5.6862
M44,"0,994",1,,P82,5.5344
M44,"0,087",2,,P83,4.5977
M45,"4277,775",1,,P84,4.5144
M45,"2061,864",2,,P85,6.1503
M46,"281,312",1,,P86,4.4814
M46,"73,63",2,,P87,5.7632
M48,"3,447",1,,P88,5.2491
M48,0,2,,P89,4.9899
M49,"1225,846",1,,P90,4.6044
M49,"579,135",2,,P91,0.9752
M50,"916,092",1,,P92,3.6698
M50,"222,615",2,,P93,1.9399
M51,"1,314",1,,P94,2.3072
M51,"0,317",2,,P95,3.3847
M52,"3,532",1,,P96,0.226
M52,0,2,,P97,1.2925
M53,"401,937",1,,P98,6.315
M53,"118,713",2,,P99,7.747
M54,"1870,697",1,,P100,7.0403
M54,"800,823",2,,P101,6.456
M55,"0,033",1,,P102,7.2238
M55,"1,271",2,,P103,6.2308
M56,"0,106",1,,P104,6.8199
M56,"1,266",2,,P105,9.7905
M57,"0,105",1,,P106,5.7675
M57,"1,266",2,,P107,5.9836
M58,"813,328",1,,P108,7.4589
M58,"422,827",2,,P109,1.0684
M59,"1089,784",1,,P110,1.0268
M59,"500,548",2,,P111,1.3112
M60,"0,036",1,,P112,1.3396
M60,"1,267",2,,P113,1.1611
M61,"0,322",1,,P114,1.3014
M61,"0,524",2,,P115,5.304
M62,"0,502",1,,P116,5.4503
M62,"1,54",2,,P117,7.4419
M63,"0,052",1,,P118,6.5085
M63,"1,306",2,,P119,5.5994
M64,"161,834",1,,P120,7.0446
M64,"0,208",2,,P121,3.7945
M65,"1804,218",1,,P122,5.7539
M65,"968,152",2,,P123,7.2289
M66,"0,101",1,,P125,6.4125
M66,"1,267",2,,P126,5.9321
M67,"1785,554",1,,P127,5.4588
M67,"896,987",2,,P128,1.2567
M68,"23,034",1,,P129,1.0899
M68,"5,024",2,,P130,6.7909
M69,"2,464",1,,P131,6.2988
M69,"1,294",2,,P132,7.1001
M70,"35,713",1,,P134,0.9655
M70,"17,222",2,,P135,1.1645
M71,"250,304",1,,P136,1.2307
M71,"126,052",2,,P137,1.0067
M72,"1,191",1,,P138,0.9334
M72,0,2,,P140,5.8674
M73,"708,036",1,,P141,1.1448
M73,"64,682",2,,P142,1.1158
M74,"3,972",1,,P143,1.0291
M74,0,2,,P144,0.9933
M75,"1,985",1,,P145,4.6488
M75,0,2,,P146,3.3463
M76,"2,765",1,,P147,0.9996
M76,0,2,,P148,1.1367
M77,"1,486",1,,P149,1.0588
M77,0,2,,P150,1.209
M78,"803,703",1,,P151,4.2243
M78,"126,69",2,,P152,4.482
M79,"2,361",1,,P154,4.3768
M79,0,2,,P155,5.8222
M80,"250,305",1,,P156,1.129
M80,"126,052",2,,P157,0
M81,"2,053",1,,P158,0.8733
M81,0,2,,P159,1.1246
M82,"2,045",1,,P160,1.0981
M82,0,2,,P161,1.0395
M83,"264,243",1,,P162,1.1272
M83,"231,233",2,,P163,4.2582
M84,"2,464",1,,P164,4.0174
M84,"1,294",2,,P165,5.3678
M85,"1,53",1,,P166,5.5581
M85,0,2,,P167,4.7576
M86,"1775,608",1,,P168,4.968
M86,"1394,058",2,,P169,4.29
M87,"148,233",1,,P170,4.9727
M87,"83,958",2,,P171,6.2322
M88,0,1,,P172,6.9013
M88,"3,877",2,,P173,5.6646
M90,"0,02",1,,P174,5.1931
M90,"0,413",2,,P175,4.5875
M91,"1,716",1,,P176,4.7022
M91,"0,439",2,,P177,5.8123
M92,"1775,177",1,,P178,6.1318
M92,"573,218",2,,P179,5.746
M93,"0,359",1,,P180,5.891
M93,"2,675",2,,P181,4.6195
M94,"509,756",1,,P182,4.199
M94,"22,848",2,,P183,5.7403
M95,"1432,569",1,,P184,5.8287
M95,"958,306",2,,P185,1.0292
M96,-,1,,P186,5.6394
M96,-,2,,P187,2.31
M97,"2,743",1,,P188,5.4503
M97,"0,027",2,,P189,3.6635
M98,"0,521",1,,P190,4.4989
M98,0,2,,P191,4.1608
M99,"29,745",1,,P192,3.9254
M99,"14,637",2,,,
M100,"0,427",1,,,
M100,0,2,,,
M101,"663,425",1,,,
M101,"97,415",2,,,
M102,"1,706",1,,,
M102,"0,013",2,,,
M103,"109,782",1,,,
M103,"136,299",2,,,
M104,"1,012",1,,,
M104,"0,561",2,,,
M105,"0,029",1,,,
M105,"1,296",2,,,
M106,"0,025",1,,,
M106,"0,556",2,,,
M107,"0,026",1,,,
M107,"0,556",2,,,
M108,"682,449",1,,,
M108,"444,703",2,,,
M109,"0,029",1,,,
M109,"1,295",2,,,
M110,"0,026",1,,,
M110,"0,555",2,,,
M111,"0,025",1,,,
M111,"1,296",2,,,
M112,"0,029",1,,,
M112,"1,295",2,,,
M113,"2,74",1,,,
M113,"0,017",2,,,
M114,"4,29",1,,,
M114,"0,034",2,,,
M115,"1,613",1,,,
M115,"0,015",2,,,
M116,"1,613",1,,,
M116,"0,013",2,,,
M117,"1,575",1,,,
M117,0,2,,,
M118,"1,995",1,,,
M118,0,2,,,
M119,"1212,122",1,,,
M119,"518,622",2,,,
M120,"0,686",1,,,
M120,0,2,,,
M121,"7,042",1,,,
M121,"0,474",2,,,
M122,"0,026",1,,,
M122,"0,782",2,,,
M123,"0,35",1,,,
M123,"0,267",2,,,
M124,"0,049",1,,,
M124,"0,466",2,,,
M125,"0,395",1,,,
M125,"0,174",2,,,
M126,"1485,922",1,,,
M126,"283,464",2,,,
M127,"1013,084",1,,,
M127,"418,403",2,,,
M128,"0,717",1,,,
M128,0,2,,,
M129,"0,676",1,,,
M129,0,2,,,
M130,"0,7",1,,,
M130,0,2,,,
M131,"6,931",1,,,
M131,"3,071",2,,,
M132,"0,759",1,,,
M132,0,2,,,
M133,"0,043",1,,,
M133,"2,668",2,,,
M134,"0,022",1,,,
M134,"3,373",2,,,
M135,"0,026",1,,,
M135,"1,304",2,,,
M136,"0,04",1,,,
M136,"3,374",2,,,
M137,"121,208",1,,,
M137,"61,063",2,,,
M138,"0,528",1,,,
M138,"2,668",2,,,
M139,"1691,534",1,,,
M139,"843,007",2,,,
M140,"1,614",1,,,
M140,"0,013",2,,,
M141,"2,751",1,,,
M141,"0,027",2,,,
M142,"0,368",1,,,
M142,"0,244",2,,,
M143,"0,374",1,,,
M143,"0,084",2,,,
M144,"66,555",1,,,
M144,"5,254",2,,,
M145,"1884,8",1,,,
M145,"108,227",2,,,
M146,"4133,082",1,,,
M146,"1621,046",2,,,
M147,"14,279",1,,,
M147,"8,671",2,,,
M148,"3,477",1,,,
M148,0,2,,,
M149,"1,48",1,,,
M149,0,2,,,
M150,"1,488",1,,,
M150,0,2,,,
M151,"1,533",1,,,
M151,0,2,,,
M152,"3,359",1,,,
M152,0,2,,,
M153,"1,508",1,,,
M153,0,2,,,
M154,"4686,055",1,,,
M154,"2277,197",2,,,
M155,"0,04",1,,,
M155,"1,16",2,,,
M156,"129,594",1,,,
