M193,71,,,,,,,,,,
M194,68,,,,,,,,,,
M195,17,,,,,,,,,,
M196,99,,,,,,,,,,
M197,230,,,,,,,,,,
M198,37,,,,,,,,,,
M199,115,,,,,,,,,,
M200,69,,,,,,,,,,
M201,65,,,____,,,,,,,
M202,203,,,,,,,,,,
M203,28,,,,,,____,,,,
M204,140,,,,,,,,,,
M205,62,,,,,,,,,,
M206,1,,,,,,,,,,____
M207,51,,,,,,,,,,
M208,12,,,,,,,,,,
M209,75,,,,,,,,,,
M210,30,____,,,,,,,,,
M211,20,,,,____,,,,,,
M212,15,,,,,,,,,,
M213,13,,,,,,,,,____,
M214,20,,,,164,,,,,,
M215,1,,,,,,,,,,163
M216,28,,,,,,162,,,,
M217,108,,,,,,,,,,
M218,8,,____,,,,,,,,
M219,110,,,,,,,,,,
M220,43,,,,,,,,,,
M221,98,,,,,,,,,,
M222,30,161,,,,,,,,,
M223,9,,,,,,,,,,
M224,1,,,,,,,,,,160
M225,13,,,,,,,,,159,
M226,35,,,,,,,____,,,
M227,53,,,,,,,,,,
M228,0,,,,,,,,,,
M229,73,,,,,,,,,,
M230,138,,,,,,,,,,
M231,116,,,,,,,,,,
M232,104,,,,,,,,,,
M233,139,,,,,,,,,,
M234,41,,,,,,,,,,
M235,25,,,,,,,,____,,
M236,24,,,,,,,,,,
M237,93,,,,,,,,,,
M238,76,,,,,,,,,,
M239,25,,,,,,,,158,,
M240,56,,,,,____,,,,,
M241,221,,,,,,,,,,
M242,35,,,,,,,157,,,
M243,28,,,,,,156,,,,
M244,50,,,,,,,,,,
M245,38,,,,,,,,,,
M246,27,,,,,,,,,,
M247,56,,,,,155,,,,,
M248,20,,,,154,,,,,,
M249,6,,,,,,,,,,
M250,5,,,,,,,,,,
M251,65,,,153,,,,,,,
M252,19,,,,,,,,,,
M253,3,,,,,,,,,,
M254,8,,152,,,,,,,,
M255,30,151,,,,,,,,,
M256,0,,,,,,,,,,
