M1,5,,,,,,,,,,,,,,,
M2,63,,,,,,____,,,,,,,,,
M3,88,,,,,,,,,,,,,,,
M4,9,,____,,,,,,,,,,,,,
M5,64,,,,,,,,,,,,,,,
M6,18,,,,,,,,____,,,,,,,
M7,79,,,,,,,,,,,,,,,
M8,16,,,,,,,,,,,,,____,,
M9,15,,,,,,,,,,,,,,,
M10,16,,,,,,,,,,,,,117,,
M11,19,,,,,,,,,,,,____,,,
M12,23,,,,,,,,,,,,,,,
M13,7,,,,,,,,,,,,,,,
M14,14,,,,,,,,,____,,,,,,
M15,57,,,,,,,,,,,,,,,
M16,12,,,,,,,____,,,,,,,,
M17,34,,,,,,,,,,,,,,,
M18,73,,,,,,,,,,,,,,,
M19,51,,,,,,,,,,,____,,,,
M20,42,,,,,,,,,,,,,,,
M21,35,,,,,,,,,,,,,,,
M22,91,,,,,,,,,,,,,,,
M23,19,,,,,,,,,,,,116,,,
M24,63,,,,,,115,,,,,,,,,
M25,13,,,,,,,,,,,,,,,
M26,29,,,,,,,,,,____,,,,,
M27,51,,,,,,,,,,,114,,,,
M28,56,,,,,,,,,,,,,,,
M29,97,,,____,,,,,,,,,,,,
M30,29,,,,,,,,,,113,,,,,
M31,66,,,,,,,,,,,,,,,
M32,18,,,,,,,,112,,,,,,,
M33,30,нет питания,,,,,,,,,,,,,,
M34,14,"нет питания, адрес поменял",,,,,,,,111,,,,,,
M35,1,нет питания,,,,,,,,,,,,,,
M36,28,,,,,,,,,,,,,,,
M37,9,,110,,,,,,,,,,,,,
M38,18,,,,,,,,109,,,,,,,
M39,9,,108,,,,,,,,,,,,,
M40,96,,,,____,,,,,,,,,,,
M41,68,,,,,,,,,,,,,,,
M42,69,,,,,,,,,,,,,,,
M43,12,,,,,,,107,,,,,,,,
M44,47,,,,,,,,,,,,,,,
M45,53,,,,,____,,,,,,,,,,
M46,63,,,,,,106,,,,,,,,,
M47,26,,,,,,,,,,,,,,,
M48,6,,,,,,,,,,,,,,,
M49,74,,,,,,,,,,,,,,,
M50,53,,,,,105,,,,,,,,,,
M51,43,,,,,,,,,,,,,,,
M52,0,NO,,,,,,,,,,,,,,
M53,31,,,,,,,,,,,,,,,
M54,50,,,,,,,,,,,,,,,
M55,32,____,,,,,,,,,,,,,,
M56,44,,,,,,,,,,,,,,,
M57,96,,,,104,,,,,,,,,,,
M58,60,,,,,,,,,,,,,,,
M59,61,,,,,,,,,,,,,,,
M60,99,,,,,,,,,,,,,,,
M61,38,,,,,,,,,,,,,,,
M62,97,,,103,,,,,,,,,,,,
M63,9,,102,,,,,,,,,,,,,
M64,32,101,,,,,,,,,,,,,,
M65,99,,,,,,,,,,,,,,,
M66,64,,,,____,,,,,,,,,,,
M67,55,,,,,,,,,,,,,,,
M68,85,,,,,,,,,,,,,,,
M69,16,,,,,,,,,,,,,,,
M70,87,,,,,,,,,,,,____,,,
M71,35,,,,,,,,,,,,,,,
M72,54,,,,,,,,,,,,,,,
M73,4,,,,,,,,,,,,,,,
M74,15,,,,,,,,,,,,,,,
M75,26,,,,,,,,,,,,,,,
M76,3,,,,,,,,,,,,,____,,
M77,86,,,,,,,,,,,,,,,
M78,28,,,,,,,,____,,,,,,,
M79,47,,,,,,,,,,,,,,,
M80,25,,,,,____,,,,,,,,,,
M81,6,,,,,,,,,,,____,,,,
M82,37,,,,,,,,,,,,,,,
M83,41,"нет кабеля нп эт., адр поменял",,,,,,,,,,,,,,117
M84,8,,,,,,,,,,,,,,____,
M85,41,,,,,,,,,,,,,,,____
M86,21,,,,,,,,,,,,,,,
M87,50,,,,,,,,,____,,,,,,
M88,65,,,,,,,,,,,,,,,
M89,36,,,,,,,,,,,,,,,
M90,95,,,,,,,,,,,,,,,
M91,59,,,____,,,,,,,,,,,,
M92,29,,,,,,,,,,,,,,,
M93,97,,,,,,,,,,,,,,,
M94,64,,,,116,,,,,,,,,,,
M95,215,,,,,,,,,,,,,,,
M96,51,,,,,____,,,,,,,,,,
M97,1,,,,,,,,,,,,,,,
M98,18,,,,,,,,,,____,,,,,
M99,79,,,,,,,,,,,,,,,
M100,8,,,,,,,,,,,,,,115,
M101,7,,,,,,,,,,,,,,,
M102,3,,,,,,,,,,,,,114,,
M103,52,,____,,,,,,,,,,,,,
M104,82,,,,,,,,,,,,,,,
M105,78,,,,,,,,,,,,,,,
M106,59,,,113,,,,,,,,,,,,
M107,38,,,,,,,,,,,,,,,
M108,2,,,,,,,,,,,,,,,
M109,87,,,,,,,,,,,,112,,,
M110,19,,,,,,,,,,,,,,,
M111,66,,,,,,,,,,,,,,,
M112,61,,,,,,,____,,,,,,,,
M113,34,,,,,,,,,,,,,,,
M114,6,,,,,,,,,,,111,,,,
M115,18,,,,,,,,,,110,,,,,
M116,50,,,,,,,,,109,,,,,,
M117,28,,,,,,,,108,,,,,,,
M118,96,____,,,,,,,,,,,,,,
M119,13,,,,,,,,,,,,,,,
M120,61,,,,,,,107,,,,,,,,
M121,51,,,,,,106,,,,,,,,,
M122,25,,,,,105,,,,,,,,,,
M123,64,,,,104,,,,,,,,,,,
M124,59,,,103,,,,,,,,,,,,
M125,42,,,,,,,,,,,,,,,
M126,235,,,,,,,,,,,,,,,
M127,52,,102,,,,,,,,,,,,,
M128,96,101,,,,,,,,,,,,,,
M129,73,,,,,,,,,,____,,,,,
M130,38,,,,,,,,,,,,____,,,
M131,77,,,,,,,____,,,,,,,,
M132,4,,,,,,,,,,,,,,,
M133,30,,,,,,,,,,,,,,,
M134,66,,,,,,,,,,,,,,,
