1,P1,0,flat1
2,P2,0,flat2
3,P3,0,flat3
4,P4,0,flat4
5,P5,1603706,flat5
6,P6,1603705,flat6
7,P7,39500895,flat7
8,P8,1603707,flat8
9,P9,1603708,flat9
10,P10,39500894,flat10
11,P11,1603701,flat11
12,P12,39500891,flat12
13,P13,39500896,flat13
14,P14,39500893,flat14
15,P15,39500897,flat15
16,P16,39500892,flat16
17,P17,1604291,flat17
18,P18,1604295,flat18
19,P19,1604296,flat19
20,P20,39500501,flat20
21,P21,1604300,flat21
22,P22,1604298,flat22
23,P23,39500503,flat23
24,P24,39500505,flat24
25,P25,39500502,flat25
26,P26,1604297,flat26
27,P27,1604293,flat27
28,P28,1604294,flat28
29,P29,1604292,flat29
30,P30,1604299,flat30
31,P31,1603709,flat31
32,P32,39500504,flat32
33,P33,39502414,flat33
34,P34,39502411,flat34
35,P35,39502418,flat35
36,P36,39502417,flat36
37,P37,39502416,flat37
38,P38,39502415,flat38
39,P39,39502413,flat39
40,P40,39502412,flat40
41,P41,24448087,flat41
42,P42,15747558,flat42
43,P43,24448266,flat43
44,P44,24446333,flat44
45,P45,1602313,flat45
46,P46,39500509,flat46
47,P47,1603764,flat47
48,P48,1601225,flat48
49,P49,1601226,flat49
50,P50,1601223,flat50
51,P51,39500508,flat51
52,P52,39500506,flat52
53,P53,1603793,flat53
54,P54,1602315,flat54
55,P55,1602318,flat55
56,P56,1603794,flat56
57,P57,1603791,flat57
58,P58,1602319,flat58
59,P59,1602311,flat59
60,P60,1603792,flat60
61,P61,0,flat61
62,P62,0,flat62
63,P63,0,flat63
64,P64,0,flat64
